EC,EO
-6.1642326086429255,-0.6820933383553408
-5.330014931339432,-0.3586709056475081
-4.349854963547344,-0.10857091482989839
-3.2396044926654546,0.05941139434474186
-2.0248635434744675,0.14382340722817663
-0.7396793512012173,0.1506102103062585
0.575416235581015,0.09249692847010309
1.875857182266128,-0.012253371454160772
3.1157728277694186,-0.14160822666618367
4.250776547561239,-0.27191373892617193
5.240600279637661,-0.38023247201316335
6.051382753591028,-0.4466550054481088
6.657451945362208,-0.4563652970330212
7.042483791996731,-0.40126172901851515
7.199967972626777,-0.2809781136163474
7.132967494223063,-0.10320387981077392
6.853220514333353,0.11673598053819162
6.3796943429562205,0.3570144886506686
5.736752841354059,0.5910536476974299
4.9521302884626,0.7897317615526778
4.054913319575879,0.9238383752892858
3.073718568994776,0.9665467267615382
2.0352197976647197,0.8956785169111448
0.9631284624902918,0.6955614263856781
-0.12232750895320185,0.3583221965317973
-1.2044416130932123,-0.11548335867065232
-2.2696504423899473,-0.7169314286945992
-3.3068461839374734,-1.4294400536354663
-4.306510917702317,-2.2300296250124965
-5.25980958270446,-3.09100166209314
-6.157769633792287,-3.9818887106375747
-6.990658452029449,-4.871525260559403
-7.747647689592057,-5.730090815959035
-8.416824848108782,-6.5309798981278
-8.985573350065744,-7.252363555245664
-9.441293971482162,-7.878325922515495
-9.772391098504755,-8.399487840508847
-9.969410550379076,-8.813069054890953
-10.026200655197481,-9.122393110569737
-9.940972038548665,-9.335899523527738
-9.717145332615935,-9.465782574170307
-9.363894379703682,-9.526413272991025
-8.896314265314144,-9.532717145707757
-8.335167519740931,-9.498675396941934
-7.706187923719836,-9.436090875891978
-7.038952973462998,-9.353718266308599
-6.365375742409173,-9.256811264357653
-5.717909536296513,-9.1470969446546
-5.127594721371545,-9.023149499161624
-4.622101004485882,-8.881099551433614
-4.223929631732602,-8.715583520652418
-3.948936806655962,-8.520816261024404
-3.8053188177577235,-8.291663748980476
-3.7931601156359416,-8.024601016020094
-3.9045919626705987,-7.7184612089343405
-4.124549862756908,-7.374909859106109
-4.432063796328381,-6.998607205509672
-4.8019753357474455,-6.5970453624996255
-5.206951107355729,-6.180067998634362
